title,price,SSD,In_build_sw,id_laptop,RAM_GB,RAM_Type,Proc_Manufacturer,Proc_Series,Proc_Generation,Proc_Cores,OS_Name,OS_Bitness,Display_inch,Touchscreen,Warranty_Years,Warranty_Type,average_rating
ASUS Ryzen 7 Octa Core 5800U - (16 GB/1 TB SSD/Windows 10 Home) UM325SA-KG701TS Thin and Light Laptop,79990,1024,"Microsoft Office Home and Student 2019, AppDeals, System Diagnosis, Splendid, Link to MyASUS",673,16,1,0,12,,8.0,3,64.0,13.3,0,1,2,
HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5001TU Thin and Light Laptop,61000,512,,674,8,1,2,3,12.0,8.0,3,64.0,15.6,0,1,2,
HP Spectre x360 Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Pro) 13-ap0121TU 2 in 1 Laptop,136590,256,"HP Support Assistant, HP JumpStart, HP Audio Switch, HP Connection Optimizer, Microsoft Office Home and Student 2016",675,8,1,2,3,8.0,8.0,3,64.0,13.3,1,1,2,
DELL Allienware Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 30...,209990,1024,,676,32,2,2,4,12.0,8.0,3,64.0,14.0,0,1,2,
HP Pavilion x360 Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-ek0137TU Thin and Light Lapto...,59990,512,,677,8,1,2,2,12.0,8.0,3,64.0,14.0,0,1,2,
Lenovo IdeaPad Gaming 3i Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,75090,256,,678,8,1,2,3,10.0,8.0,3,64.0,15.6,0,1,4,
DELL Ryzen 5 Quad Core 3450U - (8 GB/256 GB SSD/Windows 11 Home) Vostro 3400 Thin and Light Laptop,36990,256,,680,8,1,0,11,,4.0,3,64.0,14.0,0,1,2,
ASUS TUF Gaming F17 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,73990,512,,681,8,1,2,3,10.0,8.0,3,64.0,17.3,0,1,2,
Lenovo IdeaPad 1 Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) 11IGL05 Thin and Light Laptop,25490,256,Office Home and Student 2021,682,4,1,2,1,,2.0,3,64.0,11.6,0,1,2,
ASUS Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1402ZA-EK311WS Laptop,40990,512,,684,8,1,2,2,12.0,8.0,3,64.0,14.0,0,1,2,
LG Gram Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14Z90Q Thin and Light Laptop,92642,512,,685,8,2,2,3,12.0,8.0,3,64.0,14.0,0,3,2,
ASUS ROG Zephyrus G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS - (16 GB/1 TB SSD/Windows 11 ...,164990,1024,,181,16,2,0,13,,8.0,3,64.0,15.6,0,1,2,
HP Spectre x360 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Pro) 13-aw0205tu 2 in 1 Laptop,162990,512,"HP Audio Switch, HP Documentation, HP e-Service, HP JumpStart, HP Support Assistant, HP Connection Optimizer, HP Command Center, HP PC Hardware Diagnostics Windows",686,16,1,2,4,10.0,8.0,3,64.0,13.3,1,1,2,
DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10) Inspiron 5418 Thin and Light Laptop,71990,512,,687,8,1,2,3,11.0,8.0,3,64.0,14.0,0,1,2,
MSI WF65 Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Pro/4 GB Graphics/NVIDIA Quadro T100...,159990,256,"True Color 2.0, Nahimic 3, Creator Center",689,16,1,2,4,10.0,8.0,3,64.0,15.6,0,3,3,
